----,,,,,,
DateTime:,      2021/06/11, 15:18:27,1.62344E+12,,,
PIF:,-603.9,,,,,
PARs:,0,0,0,0,0,0
Light:,0,0,0,0,0,0
Lamps:,    #10000,,,,,
Gain:,5,2, ,,,
S/N Ratio:,269.93,,,,,
Position:,0,0,   NoData,,,
Cycles:,1,,,,,
1,99,100,227,,,
DataPt,  Time(us),         EX,         EM,       Fit,,
==========,==========,==========,==========,=========,,
210,90340.8,177.272,397.836,0,,
211,94915.8,177.738,397.298,0,,
212,99723.3,177.53,397.266,0,,
213,104773.3,177.042,397.577,0,,
214,110078.3,177.063,398.11,0,,
215,115653.3,177.617,396.577,0,,
216,121508.3,177.839,396.225,0,,
217,127660.8,177.747,395.533,0,,
218,134125.8,176.968,396.435,0,,
219,140915.8,177.539,395.8,0,,
220,148050.8,178.093,394.064,0,,
221,155545.8,177.921,393.977,0,,
222,163420.8,177.59,394.161,0,,
223,171695.8,177.547,394.345,0,,
224,180388.3,177.268,394.905,0,,
225,189520.8,177.601,393.278,0,,
226,199115.8,177.863,392.588,0,,
227,209195.8,177.682,392.65,0,,
----,,,,,,
DateTime:,      2021/06/11, 15:18:30,1.62344E+12,,,
PIF:,-604.37,,,,,
PARs:,0,0,0,0,0,0
Light:,0,0,0,0,0,0
Lamps:,    #10000,,,,,
Gain:,5,2, ,,,
S/N Ratio:,256.61,,,,,
Position:,0,0,   NoData,,,
Cycles:,1,,,,,
1,99,100,227,,,
DataPt,  Time(us),         EX,         EM,       Fit,,
==========,==========,==========,==========,=========,,
0,0,0,0,0,,
1,0.8,177.059,383.22,0,,
2,3.3,182.536,386.289,0,,
3,5.8,184.394,389.235,0,,
4,8.3,184.283,388.058,0,,
5,10.8,184.569,389.517,0,,
6,13.3,183.979,392.397,0,,
7,15.8,184.053,394.303,0,,
8,18.3,183.865,396.555,0,,
9,20.8,183.684,398.797,0,,
10,23.3,183.775,399.904,0,,
11,25.8,183.461,402.442,0,,
12,28.3,183.573,404.485,0,,
13,30.8,183.813,405.698,0,,
14,33.3,183.45,409.225,0,,
15,35.8,183.849,409.425,0,,
16,38.3,183.626,411.883,0,,
17,40.8,183.882,412.724,0,,
18,43.3,183.918,415.145,0,,
19,45.8,183.639,417.299,0,,
20,48.3,183.478,419.629,0,,
21,50.8,183.853,420.73,0,,
22,53.3,183.528,423.764,0,,
23,55.8,183.342,425.72,0,,
24,58.3,183.58,427.238,0,,
25,60.8,183.54,428.968,0,,
26,63.3,183.558,430.887,0,,
27,65.8,183.645,432.425,0,,
28,68.3,183.804,433.683,0,,
29,70.8,183.471,436.868,0,,
30,73.3,183.651,438.291,0,,
31,75.8,183.569,441.21,0,,
32,78.3,183.658,442.522,0,,
33,80.8,183.919,444.176,0,,
34,83.3,184.315,445.175,0,,
35,85.8,183.494,448.257,0,,
36,88.3,183.489,450.777,0,,
37,90.8,183.848,451.636,0,,
38,93.3,183.265,454.603,0,,
39,95.8,183.256,456.153,0,,
40,98.3,183.513,458.237,0,,
41,100.8,183.505,460.547,0,,
42,103.3,183.589,462.079,0,,
43,105.8,183.663,463.201,0,,
44,108.3,183.443,466.481,0,,
45,110.8,183.43,468.368,0,,
46,113.3,184.009,468.742,0,,
47,115.8,183.926,470.693,0,,
48,118.3,183.772,472.938,0,,
49,120.8,184.185,473.721,0,,
50,123.3,184.063,476.101,0,,
51,125.8,183.962,478.319,0,,
52,128.3,183.831,480.293,0,,
53,130.8,183.777,482.066,0,,
54,133.3,184.208,482.675,0,,
55,135.8,184.42,484.614,0,,
56,138.3,183.75,488.231,0,,
57,140.8,183.801,489.839,0,,
58,143.3,184.193,490.965,0,,
59,145.8,184.467,491.647,0,,
60,148.3,184.534,493.419,0,,
61,150.8,183.982,496.529,0,,
62,153.3,184.245,497.666,0,,
63,155.8,184.623,497.948,0,,
64,158.3,183.944,501.851,0,,
65,160.8,184.002,502.998,0,,
66,163.3,184.372,504.265,0,,
67,165.8,184.072,506.609,0,,
68,168.3,184.084,508.748,0,,
69,170.8,184.575,508.479,0,,
70,173.3,184.556,511.132,0,,
71,175.8,184.457,513.467,0,,
72,178.3,184.255,514.898,0,,
73,180.8,184.156,516.913,0,,
74,183.3,184.51,516.679,0,,
75,185.8,184.684,518.9,0,,
76,188.3,184.042,521.47,0,,
77,190.8,183.998,523.553,0,,
78,193.3,184.612,523.327,0,,
79,195.8,184.285,526.211,0,,
80,198.3,184.201,527.862,0,,
81,200.8,184.396,528.281,0,,
82,203.3,184.41,530.19,0,,
83,205.8,184.325,532.279,0,,
84,208.3,184.359,533.05,0,,
85,210.8,184.223,534.312,0,,
86,213.3,184.039,536.804,0,,
87,215.8,184.227,537.773,0,,
88,218.3,183.824,540.695,0,,
89,220.8,184.011,541.558,0,,
90,223.3,184.128,542.082,0,,
91,225.8,184.218,543.337,0,,
92,228.3,184.194,545.364,0,,
93,230.8,184.232,546.119,0,,
94,233.3,184.188,547.552,0,,
95,235.8,183.873,549.795,0,,
96,238.3,184.008,551.131,0,,
97,240.8,183.985,551.743,0,,
98,243.3,184.266,552.53,0,,
99,245.8,184.362,553.436,0,,
100,250.8,183.183,554.27,0,,
101,273.3,182.206,556.363,0,,
102,295.8,181.926,553.82,0,,
103,318.3,182.146,548.328,0,,
104,343.3,182.007,544.368,0,,
105,368.3,182.263,539.324,0,,
106,395.8,182.081,534.697,0,,
107,423.3,181.88,531.655,0,,
108,453.3,182.146,525.84,0,,
109,483.3,182.093,522.268,0,,
110,515.8,181.994,518.485,0,,
111,550.8,181.507,514.603,0,,
112,585.8,181.995,510.72,0,,
113,623.3,181.913,506.438,0,,
114,663.3,181.547,504.153,0,,
115,705.8,181.926,499.697,0,,
116,748.3,181.76,496.09,0,,
117,793.3,181.169,494.85,0,,
118,840.8,181.54,490.549,0,,
119,890.8,181.5,488.556,0,,
120,943.3,181.242,485.844,0,,
121,998.3,181.084,482.728,0,,
122,1055.8,180.999,480.014,0,,
123,1115.8,181.56,476.565,0,,
124,1178.3,181.845,474.381,0,,
125,1245.8,181.487,472.136,0,,
126,1315.8,181.273,470.05,0,,
127,1388.3,180.768,468.368,0,,
128,1465.8,180.976,466.074,0,,
129,1545.8,180.732,463.941,0,,
130,1630.8,181.079,460.856,0,,
131,1720.8,181.74,458.075,0,,
132,1815.8,181.286,456.226,0,,
133,1913.3,180.76,455.562,0,,
134,2015.8,180.927,452.942,0,,
135,2123.3,180.926,451.625,0,,
136,2238.3,180.869,449.223,0,,
137,2358.3,180.514,448.012,0,,
138,2483.3,180.16,447.211,0,,
139,2615.8,181.09,444.031,0,,
140,2753.3,180.529,442.633,0,,
141,2898.3,180.712,440.753,0,,
142,3050.8,181.191,438.266,0,,
143,3210.8,180.136,438.166,0,,
144,3378.3,180.095,436.807,0,,
145,3555.8,180.867,433.942,0,,
146,3740.8,180.397,433.418,0,,
147,3935.8,180.151,432.349,0,,
148,4140.8,180.293,430.548,0,,
149,4355.8,179.873,430.762,0,,
150,4580.8,180.051,428.57,0,,
151,4818.3,180.605,426.481,0,,
152,5068.3,180.064,426.65,0,,
153,5330.8,179.511,426.202,0,,
154,5605.8,179.962,424.054,0,,
155,5895.8,180.022,422.923,0,,
156,6200.8,179.818,422.09,0,,
157,6520.8,179.646,421.372,0,,
158,6855.8,179.856,420.093,0,,
159,7208.3,179.824,418.962,0,,
160,7578.3,179.654,418.55,0,,
161,7965.8,179.497,417.927,0,,
162,8373.3,179.48,417.164,0,,
163,8800.8,179.213,416.834,0,,
164,9250.8,179.404,415.162,0,,
165,9723.3,179.331,414.596,0,,
166,10220.8,179.606,413.609,0,,
167,10743.3,178.793,414.351,0,,
168,11290.8,179.482,412.745,0,,
169,11865.8,179.369,411.896,0,,
170,12470.8,179.354,410.494,0,,
171,13105.8,179.057,411.724,0,,
172,13773.3,179.246,409.63,0,,
173,14475.8,179.358,409.737,0,,
174,15213.3,178.797,410.009,0,,
175,15988.3,179.149,408.482,0,,
176,16800.8,179.069,408.631,0,,
177,17655.8,178.998,407.703,0,,
178,18553.3,178.569,407.84,0,,
179,19495.8,178.921,406.579,0,,
180,20485.8,178.71,406.305,0,,
181,21525.8,179.015,405.664,0,,
182,22618.3,178.928,404.436,0,,
183,23768.3,179.025,404.511,0,,
184,24975.8,178.538,404.421,0,,
185,26243.3,178.938,402.792,0,,
186,27575.8,178.296,403.854,0,,
187,28975.8,178.612,403.291,0,,
188,30445.8,178.277,402.855,0,,
189,31990.8,178.817,402.921,0,,
190,33613.3,177.911,402.642,0,,
191,35318.3,178.532,400.954,0,,
192,37108.3,178.354,400.796,0,,
193,38990.8,178.027,401.353,0,,
194,40968.3,177.751,402.116,0,,
195,43045.8,178.238,399.99,0,,
196,45228.3,178.137,399.751,0,,
197,47520.8,178.062,399.035,0,,
198,49928.3,177.953,399.761,0,,
199,52458.3,177.822,398.676,0,,
200,55115.8,178.22,397.656,0,,
201,57908.3,178.021,398.24,0,,
202,60843.3,177.972,397.531,0,,
203,63925.8,177.715,398.013,0,,
204,67163.3,177.426,398.316,0,,
205,70565.8,177.682,397.156,0,,
206,74140.8,177.696,397.156,0,,
207,77895.8,178.18,395.436,0,,
208,81840.8,176.787,398.445,0,,
209,85985.8,177.511,396.458,0,,
210,90340.8,177.443,395.623,0,,
211,94915.8,177.715,396.183,0,,
212,99723.3,177.388,395.508,0,,
213,104773.3,177.783,395.191,0,,
214,110078.3,177.198,395.93,0,,
215,115653.3,177.234,395.23,0,,
216,121508.3,177.258,394.709,0,,
217,127660.8,177.678,394.721,0,,
218,134125.8,177.803,393.811,0,,
219,140915.8,177.123,394.346,0,,
220,148050.8,177.621,393.877,0,,
221,155545.8,177.347,393.807,0,,
222,163420.8,177.789,392.814,0,,
223,171695.8,176.901,393.752,0,,
224,180388.3,177.401,392.992,0,,
225,189520.8,177.033,393.063,0,,
226,199115.8,177.313,392.01,0,,
227,209195.8,177.874,390.75,0,,
----,,,,,,
DateTime:,      2021/06/11, 15:21:32,1.62344E+12,,,
PIF:,-564.48,,,,,
PARs:,0,0,0,0,0,0
Light:,160,0,0,0,0,0
Lamps:,    #10000,,,,,
Gain:,5,2, ,,,
S/N Ratio:,241.67,,,,,
Position:,0,0,   NoData,,,
Cycles:,1,,,,,
1,99,100,227,,,
DataPt,  Time(us),         EX,         EM,       Fit,,
==========,==========,==========,==========,=========,,
0,0,0,0,0,,
1,0.8,179.841,372.539,0,,
2,3.3,181.522,369.22,0,,
3,5.8,183.941,365.975,0,,
4,8.3,183.45,365.538,0,,
5,10.8,183.446,367.18,0,,
6,13.3,182.862,370.213,0,,
7,15.8,183.315,370.607,0,,
8,18.3,183.128,373.059,0,,
9,20.8,183.043,374.216,0,,
10,23.3,182.943,376.388,0,,
11,25.8,183.012,378.214,0,,
12,28.3,182.932,380.019,0,,
13,30.8,182.885,382.304,0,,
14,33.3,183,383.048,0,,
15,35.8,183.205,384.475,0,,
16,38.3,182.984,386.36,0,,
17,40.8,183.142,387.773,0,,
18,43.3,182.609,390.33,0,,
19,45.8,182.712,392.189,0,,
20,48.3,182.836,393.346,0,,
21,50.8,182.924,394.797,0,,
22,53.3,182.886,397.066,0,,
23,55.8,182.797,399.229,0,,
24,58.3,183.126,400.258,0,,
25,60.8,182.896,401.527,0,,
26,63.3,183.009,403.356,0,,
27,65.8,183.19,404.487,0,,
28,68.3,182.968,407.49,0,,
29,70.8,183.112,408.809,0,,
30,73.3,182.533,411.42,0,,
31,75.8,182.736,412.276,0,,
32,78.3,182.918,413.943,0,,
33,80.8,182.988,415.535,0,,
34,83.3,183.19,416.822,0,,
35,85.8,182.945,418.692,0,,
36,88.3,183.129,420.019,0,,
37,90.8,182.823,422.255,0,,
38,93.3,182.907,423.811,0,,
39,95.8,182.614,426.79,0,,
40,98.3,182.869,427.617,0,,
41,100.8,182.671,430.05,0,,
42,103.3,182.565,431.614,0,,
43,105.8,182.638,433.303,0,,
44,108.3,182.893,434.121,0,,
45,110.8,182.502,437.024,0,,
46,113.3,182.603,438.535,0,,
47,115.8,182.71,439.373,0,,
48,118.3,182.462,441.942,0,,
49,120.8,182.589,443.06,0,,
50,123.3,182.656,444.758,0,,
51,125.8,182.556,446.534,0,,
52,128.3,182.237,448.963,0,,
53,130.8,182.373,449.944,0,,
54,133.3,182.516,451.564,0,,
55,135.8,182.254,453.311,0,,
56,138.3,182.536,454.584,0,,
57,140.8,182.302,456.373,0,,
58,143.3,182.313,458.43,0,,
59,145.8,182.206,460.127,0,,
60,148.3,181.895,462.123,0,,
61,150.8,182.671,462.569,0,,
62,153.3,182.175,464.266,0,,
63,155.8,182.927,464.108,0,,
64,158.3,182.539,466.848,0,,
65,160.8,182.218,469.206,0,,
66,163.3,182.49,470.369,0,,
67,165.8,182.193,471.685,0,,
68,168.3,181.922,474.477,0,,
69,170.8,182.219,475.679,0,,
70,173.3,182.389,476.991,0,,
71,175.8,182.574,477.493,0,,
72,178.3,182.846,477.986,0,,
73,180.8,182.276,480.578,0,,
74,183.3,182.249,481.636,0,,
75,185.8,182.421,483.594,0,,
76,188.3,182.635,484.013,0,,
77,190.8,182.214,486.888,0,,
78,193.3,182.444,487.259,0,,
79,195.8,182.686,487.709,0,,
80,198.3,182.226,490.258,0,,
81,200.8,182.136,491.929,0,,
82,203.3,182.339,493.354,0,,
83,205.8,182.255,494.569,0,,
84,208.3,182.666,495.1,0,,
85,210.8,182.154,497.259,0,,
86,213.3,182.537,497.64,0,,
87,215.8,182.63,499.25,0,,
88,218.3,182.324,500.524,0,,
89,220.8,182.981,500.367,0,,
90,223.3,183.003,501.728,0,,
91,225.8,182.621,503.326,0,,
92,228.3,182.502,504.969,0,,
93,230.8,182.634,506.793,0,,
94,233.3,182.874,506.895,0,,
95,235.8,182.656,508.485,0,,
96,238.3,182.79,509.535,0,,
97,240.8,182.767,510.802,0,,
98,243.3,182.385,512.859,0,,
99,245.8,182.763,512.674,0,,
100,250.8,181.595,515.972,0,,
101,273.3,181.665,519.516,0,,
102,295.8,181.863,515.784,0,,
103,318.3,181.602,512.499,0,,
104,343.3,181.744,508.384,0,,
105,368.3,181.621,503.578,0,,
106,395.8,181.448,499.558,0,,
107,423.3,180.789,497.525,0,,
108,453.3,180.978,492.392,0,,
109,483.3,181.498,487.571,0,,
110,515.8,181.011,484.57,0,,
111,550.8,181.194,480.568,0,,
112,585.8,181.386,476.222,0,,
113,623.3,181.598,472.594,0,,
114,663.3,181.412,470.01,0,,
115,705.8,181.033,467.144,0,,
116,748.3,181.238,463.975,0,,
117,793.3,181.504,460.675,0,,
118,840.8,181.119,457.695,0,,
119,890.8,181.183,455.227,0,,
120,943.3,181.024,452.769,0,,
121,998.3,180.588,451.329,0,,
122,1055.8,181.17,447.516,0,,
123,1115.8,180.872,445.84,0,,
124,1178.3,180.897,444.484,0,,
125,1245.8,181.311,440.075,0,,
126,1315.8,180.923,438.603,0,,
127,1388.3,181.097,436.999,0,,
128,1465.8,181.293,434.891,0,,
129,1545.8,180.661,433.321,0,,
130,1630.8,180.521,431.557,0,,
131,1720.8,180.701,429.492,0,,
132,1815.8,181.011,426.443,0,,
133,1913.3,180.779,425.104,0,,
134,2015.8,181.051,422.275,0,,
135,2123.3,180.587,420.935,0,,
136,2238.3,181.112,418.514,0,,
137,2358.3,180.775,417.319,0,,
138,2483.3,180.906,415.918,0,,
139,2615.8,181.177,413.31,0,,
140,2753.3,180.813,411.945,0,,
141,2898.3,180.722,410.724,0,,
142,3050.8,181.106,408.307,0,,
143,3210.8,180.641,406.915,0,,
144,3378.3,180.696,406.347,0,,
145,3555.8,180.443,403.927,0,,
146,3740.8,180.82,402.76,0,,
147,3935.8,180.665,402.334,0,,
148,4140.8,181.367,399.121,0,,
149,4355.8,180.483,398.974,0,,
150,4580.8,180.495,397.971,0,,
151,4818.3,180.847,395.963,0,,
152,5068.3,180.597,395.265,0,,
153,5330.8,180.796,393.934,0,,
154,5605.8,180.86,393.443,0,,
155,5895.8,180.645,391.913,0,,
156,6200.8,180.451,391.565,0,,
157,6520.8,180.555,390.758,0,,
158,6855.8,180.576,389.275,0,,
159,7208.3,180.425,388.732,0,,
160,7578.3,180.161,389.194,0,,
161,7965.8,180.939,386.742,0,,
162,8373.3,180.263,387.071,0,,
163,8800.8,180.082,386.571,0,,
164,9250.8,180.655,385.236,0,,
165,9723.3,180.175,384.728,0,,
166,10220.8,180.097,385.173,0,,
167,10743.3,180.22,384.489,0,,
168,11290.8,180.51,383.437,0,,
169,11865.8,180.394,383.224,0,,
170,12470.8,180.532,382.147,0,,
171,13105.8,180.542,381.78,0,,
172,13773.3,180.155,382.054,0,,
173,14475.8,180.445,380.67,0,,
174,15213.3,180.198,381.476,0,,
175,15988.3,180.258,381.498,0,,
176,16800.8,180.201,381.058,0,,
177,17655.8,180.733,378.824,0,,
178,18553.3,180.329,379.283,0,,
179,19495.8,180.196,379.018,0,,
180,20485.8,180.069,379.052,0,,
181,21525.8,180.24,377.928,0,,
182,22618.3,180.245,378.238,0,,
183,23768.3,180.245,377.557,0,,
184,24975.8,180.001,378.607,0,,
185,26243.3,180.447,377.707,0,,
186,27575.8,179.56,378.618,0,,
187,28975.8,179.756,377.986,0,,
188,30445.8,180.32,377.216,0,,
189,31990.8,180.706,376.007,0,,
190,33613.3,180.257,376.553,0,,
191,35318.3,180.081,376.932,0,,
192,37108.3,180.481,376.427,0,,
193,38990.8,180.017,377.3,0,,
194,40968.3,179.482,377.488,0,,
195,43045.8,180.102,376.247,0,,
196,45228.3,180.206,376.37,0,,
197,47520.8,180.303,376.243,0,,
198,49928.3,180.217,375.209,0,,
199,52458.3,180.341,375.411,0,,
200,55115.8,179.992,375.982,0,,
201,57908.3,179.605,376.176,0,,
202,60843.3,180.114,375.596,0,,
203,63925.8,180.253,375.125,0,,
204,67163.3,179.595,376.393,0,,
205,70565.8,179.943,375.473,0,,
206,74140.8,179.919,376.068,0,,
207,77895.8,179.614,376.653,0,,
208,81840.8,180.191,375.384,0,,
209,85985.8,180.029,375.415,0,,
210,90340.8,179.729,376.3,0,,
211,94915.8,180.157,375.091,0,,
212,99723.3,180.033,374.952,0,,
213,104773.3,179.596,375.943,0,,
214,110078.3,180.204,374.637,0,,
215,115653.3,180.114,374.575,0,,
216,121508.3,179.594,374.95,0,,
217,127660.8,179.633,376.154,0,,
218,134125.8,180.274,374.079,0,,
219,140915.8,180.207,374.446,0,,
220,148050.8,179.968,374.929,0,,
221,155545.8,180.105,373.886,0,,
222,163420.8,180.081,374.707,0,,
223,171695.8,179.98,374.192,0,,
224,180388.3,179.412,375.247,0,,
225,189520.8,179.967,374.603,0,,
226,199115.8,179.929,374.361,0,,
227,209195.8,180.107,373.819,0,,
----,,,,,,
DateTime:,      2021/06/11, 15:21:34,1.62344E+12,,,
PIF:,-602.46,,,,,
PARs:,0,0,0,0,0,0
Light:,0,0,0,0,0,0
Lamps:,    #10000,,,,,
Gain:,5,2, ,,,
S/N Ratio:,291.2,,,,,
Position:,0,0,   NoData,,,
Cycles:,1,,,,,
1,99,100,227,,,
DataPt,  Time(us),         EX,         EM,       Fit,,
==========,==========,==========,==========,=========,,
0,0,0,0,0,,
1,0.8,176.754,327.174,0,,
2,3.3,182.125,329.885,0,,
3,5.8,184.459,332.483,0,,
