----,
DateTime:,      2021/06/11, 11:38:04, 1623422283796,
PIF:,           -616.76,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #00001,
Gain:,           5,    2, 
S/N Ratio:,    34.52,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
  192,    37108.3,     90.810,    1769.465,
  193,    38990.8,     89.566,    1792.785,
  194,    40968.3,     89.885,    1783.903,
  195,    43045.8,     89.904,    1783.737,
  196,    45228.3,     90.136,    1778.323,
  197,    47520.8,     90.144,    1775.686,
  198,    49928.3,     90.063,    1774.257,
  199,    52458.3,     90.226,    1773.804,
  200,    55115.8,     88.805,    1798.312,
  201,    57908.3,     89.790,    1779.210,
  202,    60843.3,     89.922,    1777.160,
  203,    63925.8,     89.429,    1785.384,
  204,    67163.3,     90.110,    1769.536,
  205,    70565.8,     90.442,    1763.867,
  206,    74140.8,     90.711,    1760.298,
  207,    77895.8,     89.828,    1774.922,
  208,    81840.8,     89.633,    1776.994,
  209,    85985.8,     88.601,    1798.865,
  210,    90340.8,     90.038,    1771.088,
  211,    94915.8,     89.360,    1781.671,
  212,    99723.3,     91.392,    1743.906,
  213,   104773.3,     90.336,    1760.920,
  214,   110078.3,     90.676,    1754.787,
  215,   115653.3,     90.091,    1766.160,
  216,   121508.3,     89.836,    1770.900,
  217,   127660.8,     90.208,    1762.734,
  218,   134125.8,     90.055,    1766.730,
  219,   140915.8,     90.397,    1758.628,
  220,   148050.8,     89.056,    1782.096,
  221,   155545.8,     89.120,    1783.096,
  222,   163420.8,     89.874,    1768.271,
  223,   171695.8,     90.099,    1763.277,
  224,   180388.3,     90.185,    1761.291,
  225,   189520.8,     89.749,    1769.254,
  226,   199115.8,     89.166,    1779.378,
  227,   209195.8,     90.250,    1758.672,
----,
DateTime:,      2021/06/11, 11:38:06, 1623422286518,
PIF:,           -617.54,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #00001,
Gain:,           5,    2, 
S/N Ratio:,    38.74,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,     90.454,    1752.458,      0.000,
    2,        3.3,     89.962,    1760.808,      0.000,
    3,        5.8,     89.108,    1769.284,      0.000,
    4,        8.3,     89.174,    1765.952,      0.000,
    5,       10.8,     89.105,    1768.881,      0.000,
    6,       13.3,     88.638,    1780.683,      0.000,
    7,       15.8,     88.095,    1793.926,      0.000,
    8,       18.3,     87.839,    1800.758,      0.000,
    9,       20.8,     87.753,    1800.698,      0.000,
   10,       23.3,     86.872,    1817.582,      0.000,
   11,       25.8,     86.081,    1833.108,      0.000,
   12,       28.3,     87.311,    1807.295,      0.000,
   13,       30.8,     86.252,    1830.182,      0.000,
   14,       33.3,     86.318,    1831.784,      0.000,
   15,       35.8,     85.673,    1849.092,      0.000,
   16,       38.3,     85.386,    1857.176,      0.000,
   17,       40.8,     85.671,    1852.404,      0.000,
   18,       43.3,     85.125,    1867.337,      0.000,
   19,       45.8,     85.552,    1859.872,      0.000,
   20,       48.3,     85.112,    1869.722,      0.000,
   21,       50.8,     85.705,    1857.492,      0.000,
   22,       53.3,     84.175,    1893.398,      0.000,
   23,       55.8,     84.189,    1895.221,      0.000,
   24,       58.3,     83.860,    1905.743,      0.000,
   25,       60.8,     83.026,    1927.550,      0.000,
   26,       63.3,     83.241,    1924.491,      0.000,
   27,       65.8,     83.699,    1916.348,      0.000,
   28,       68.3,     83.367,    1925.670,      0.000,
   29,       70.8,     82.875,    1937.820,      0.000,
   30,       73.3,     83.104,    1935.121,      0.000,
   31,       75.8,     83.311,    1932.479,      0.000,
   32,       78.3,     83.131,    1938.815,      0.000,
   33,       80.8,     82.893,    1945.351,      0.000,
   34,       83.3,     82.871,    1949.493,      0.000,
   35,       85.8,     82.242,    1966.114,      0.000,
   36,       88.3,     82.035,    1972.524,      0.000,
   37,       90.8,     81.321,    1990.596,      0.000,
   38,       93.3,     81.900,    1978.217,      0.000,
   39,       95.8,     82.324,    1969.503,      0.000,
   40,       98.3,     82.432,    1968.611,      0.000,
   41,      100.8,     82.188,    1976.891,      0.000,
   42,      103.3,     81.396,    1995.878,      0.000,
   43,      105.8,     81.446,    1997.594,      0.000,
   44,      108.3,     80.697,    2016.131,      0.000,
   45,      110.8,     81.287,    2003.465,      0.000,
   46,      113.3,     81.136,    2007.203,      0.000,
   47,      115.8,     80.932,    2012.759,      0.000,
   48,      118.3,     81.040,    2011.556,      0.000,
   49,      120.8,     80.494,    2025.938,      0.000,
   50,      123.3,     80.252,    2033.797,      0.000,
   51,      125.8,     79.427,    2054.928,      0.000,
   52,      128.3,     80.532,    2027.484,      0.000,
   53,      130.8,     79.551,    2051.977,      0.000,
   54,      133.3,     80.120,    2037.396,      0.000,
   55,      135.8,     79.591,    2051.699,      0.000,
   56,      138.3,     79.674,    2050.823,      0.000,
   57,      140.8,     80.033,    2042.121,      0.000,
   58,      143.3,     79.271,    2061.733,      0.000,
   59,      145.8,     78.581,    2082.143,      0.000,
   60,      148.3,     79.251,    2062.507,      0.000,
   61,      150.8,     78.698,    2077.512,      0.000,
   62,      153.3,     79.381,    2059.391,      0.000,
   63,      155.8,     78.338,    2085.288,      0.000,
   64,      158.3,     78.780,    2075.096,      0.000,
   65,      160.8,     78.583,    2080.553,      0.000,
   66,      163.3,     78.215,    2088.824,      0.000,
   67,      165.8,     78.685,    2075.834,      0.000,
   68,      168.3,     78.377,    2084.483,      0.000,
   69,      170.8,     78.054,    2092.874,      0.000,
   70,      173.3,     78.161,    2089.991,      0.000,
   71,      175.8,     78.193,    2088.131,      0.000,
   72,      178.3,     76.871,    2122.480,      0.000,
   73,      180.8,     77.314,    2112.908,      0.000,
   74,      183.3,     77.745,    2099.649,      0.000,
   75,      185.8,     77.616,    2101.337,      0.000,
   76,      188.3,     77.254,    2110.915,      0.000,
   77,      190.8,     77.309,    2108.897,      0.000,
   78,      193.3,     77.120,    2113.538,      0.000,
   79,      195.8,     76.603,    2126.750,      0.000,
   80,      198.3,     77.225,    2108.869,      0.000,
   81,      200.8,     76.632,    2122.838,      0.000,
   82,      203.3,     77.059,    2111.588,      0.000,
   83,      205.8,     77.344,    2102.250,      0.000,
   84,      208.3,     76.508,    2124.962,      0.000,
   85,      210.8,     76.712,    2117.992,      0.000,
   86,      213.3,     75.603,    2148.007,      0.000,
   87,      215.8,     75.896,    2139.189,      0.000,
   88,      218.3,     76.482,    2121.493,      0.000,
   89,      220.8,     75.568,    2146.641,      0.000,
   90,      223.3,     76.141,    2128.641,      0.000,
   91,      225.8,     76.334,    2121.695,      0.000,
   92,      228.3,     75.581,    2141.483,      0.000,
   93,      230.8,     75.604,    2140.591,      0.000,
   94,      233.3,     75.614,    2139.233,      0.000,
   95,      235.8,     75.109,    2152.030,      0.000,
   96,      238.3,     75.124,    2150.787,      0.000,
   97,      240.8,     75.701,    2133.354,      0.000,
   98,      243.3,     75.957,    2125.375,      0.000,
   99,      245.8,     75.411,    2138.897,      0.000,
  100,      250.8,     75.740,    2149.413,      0.000,
  101,      273.3,     78.464,    2141.837,      0.000,
  102,      295.8,     80.157,    2121.601,      0.000,
  103,      318.3,     81.107,    2111.596,      0.000,
  104,      343.3,     80.478,    2138.056,      0.000,
  105,      368.3,     81.866,    2107.920,      0.000,
  106,      395.8,     81.989,    2112.820,      0.000,
  107,      423.3,     81.944,    2114.981,      0.000,
  108,      453.3,     81.900,    2119.579,      0.000,
  109,      483.3,     82.854,    2094.211,      0.000,
  110,      515.8,     82.822,    2095.789,      0.000,
  111,      550.8,     83.009,    2088.670,      0.000,
  112,      585.8,     83.545,    2072.623,      0.000,
  113,      623.3,     82.567,    2095.994,      0.000,
  114,      663.3,     83.099,    2079.221,      0.000,
  115,      705.8,     82.745,    2084.521,      0.000,
  116,      748.3,     82.806,    2079.160,      0.000,
  117,      793.3,     83.610,    2056.309,      0.000,
  118,      840.8,     83.604,    2053.824,      0.000,
  119,      890.8,     84.289,    2034.053,      0.000,
  120,      943.3,     83.528,    2049.486,      0.000,
  121,      998.3,     84.168,    2031.791,      0.000,
  122,     1055.8,     85.790,    1992.286,      0.000,
  123,     1115.8,     84.546,    2020.649,      0.000,
  124,     1178.3,     85.403,    1997.113,      0.000,
  125,     1245.8,     84.917,    2007.149,      0.000,
  126,     1315.8,     84.372,    2015.154,      0.000,
  127,     1388.3,     84.317,    2015.064,      0.000,
  128,     1465.8,     84.613,    2004.967,      0.000,
  129,     1545.8,     85.766,    1976.859,      0.000,
  130,     1630.8,     84.484,    2003.777,      0.000,
  131,     1720.8,     84.804,    1992.698,      0.000,
  132,     1815.8,     84.772,    1994.392,      0.000,
  133,     1913.3,     84.870,    1989.008,      0.000,
  134,     2015.8,     84.864,    1985.386,      0.000,
  135,     2123.3,     86.302,    1952.571,      0.000,
  136,     2238.3,     86.125,    1952.865,      0.000,
  137,     2358.3,     86.584,    1941.818,      0.000,
  138,     2483.3,     85.848,    1956.813,      0.000,
  139,     2615.8,     85.451,    1962.158,      0.000,
  140,     2753.3,     86.334,    1940.468,      0.000,
  141,     2898.3,     85.678,    1953.890,      0.000,
  142,     3050.8,     87.108,    1920.660,      0.000,
  143,     3210.8,     87.353,    1911.375,      0.000,
  144,     3378.3,     86.675,    1924.929,      0.000,
  145,     3555.8,     85.785,    1944.412,      0.000,
  146,     3740.8,     86.737,    1919.334,      0.000,
  147,     3935.8,     87.937,    1891.981,      0.000,
  148,     4140.8,     86.708,    1917.189,      0.000,
  149,     4355.8,     87.013,    1908.171,      0.000,
  150,     4580.8,     88.616,    1874.062,      0.000,
